,Player,NewPos,MP,Gls,Ast,G+A,xG,xAG,Age,CrdY,CrdR,PrgC,PrgP,PrgR,FantasyPoints,PlayerCost
53,James McConnell,MF,3,0,0,0,0.0,0.0,18,0,0,0,1,0,0.5333333333333333,10.0
54,Kaide Gordon,FW,1,0,0,0,0.0,0.0,18,0,0,0,1,0,0.5111111111111111,12.0
55,William Saliba,DF,38,2,1,3,1.6,0.2,22,4,0,16,157,6,102.32222222222222,9.7
56,Declan Rice,MF,38,7,8,15,3.3,5.3,24,5,0,75,278,64,274.8222222222222,15.950000000000001
57,Martin Ødegaard,MF,35,8,10,18,7.4,9.6,24,2,0,91,344,202,411.2888888888889,22.2
58,Ben White,DF,37,4,4,8,1.2,3.8,25,8,0,44,192,162,229.61111111111111,11.1
59,Bukayo Saka,FW,35,16,9,25,15.5,10.5,21,4,0,155,126,508,539.3888888888889,32.75
60,Gabriel Magalhães,DF,36,4,0,4,4.3,0.7,25,4,0,13,117,8,94.7,12.65
61,David Raya,GK,32,0,0,0,0.0,0.0,27,2,0,0,2,0,-0.6444444444444444,6.0
62,Kai Havertz,MF,37,13,7,20,12.3,4.4,24,11,0,55,99,191,276.9111111111111,24.5
63,Gabriel Martinelli,FW,35,6,4,10,6.8,6.1,22,1,0,127,65,345,329.5888888888889,21.85
64,Oleksandr Zinchenko,DF,27,1,2,3,0.6,2.5,26,2,0,40,229,58,176.5,9.85
65,Leandro Trossard,FW,34,12,1,13,7.9,2.8,28,2,0,66,76,155,228.47777777777776,21.299999999999997
66,Gabriel Jesus,FW,27,4,5,9,6.3,3.8,26,6,0,38,42,155,163.2,20.2
67,Jakub Kiwior,DF,20,1,3,4,0.8,0.9,23,1,0,4,55,16,53.22222222222222,9.25
68,Takehiro Tomiyasu,DF,22,2,1,3,1.5,0.4,24,2,1,17,72,37,74.64444444444445,9.7
69,Eddie Nketiah,FW,27,5,2,7,4.5,0.8,24,3,0,22,20,77,97.6,16.9
70,Jorginho,MF,24,0,2,2,0.1,1.4,31,1,0,8,101,8,65.26666666666667,10.799999999999999
71,Thomas Partey,MF,14,0,0,0,0.4,0.3,30,3,0,15,72,10,46.75555555555555,10.55
72,Aaron Ramsdale,GK,6,0,0,0,0.0,0.0,25,0,0,0,2,0,1.0666666666666667,6.0
73,Emile Smith Rowe,MF,13,0,1,1,2.0,0.2,23,0,0,11,23,18,33.34444444444445,12.1
74,Fabio Vieira,MF,11,1,2,3,1.3,1.6,23,0,1,12,15,30,40.82222222222222,12.100000000000001
